iter	Passed	Remaining
0	57	57580
1	57	28919
2	58	19407
3	58	14634
4	59	11759
5	59	9854
6	59	8478
7	60	7450
8	60	6661
9	60	6014
10	61	5498
11	61	5074
12	62	4707
13	62	4384
14	62	4114
15	63	3874
16	63	3665
17	63	3480
18	64	3312
19	64	3159
20	64	3022
21	65	2897
22	65	2781
23	65	2678
24	66	2580
25	66	2490
26	66	2406
27	67	2333
28	67	2262
29	67	2195
30	68	2131
31	68	2073
32	68	2018
33	69	1965
34	69	1915
35	69	1867
36	70	1824
37	70	1785
38	70	1748
39	71	1712
40	71	1675
41	71	1641
42	72	1608
43	72	1578
44	72	1548
45	73	1520
46	73	1492
47	73	1467
48	74	1441
49	74	1417
50	75	1396
51	75	1375
52	75	1353
53	76	1332
54	76	1311
55	76	1292
56	77	1274
57	77	1257
58	77	1240
59	78	1222
60	78	1206
61	78	1190
62	79	1175
63	79	1160
64	79	1145
65	79	1131
66	80	1118
67	80	1106
68	81	1093
69	81	1080
70	81	1068
71	81	1056
72	82	1045
73	82	1034
74	83	1025
75	83	1014
76	83	1003
77	83	992
78	84	982
79	84	973
80	84	962
81	85	953
82	85	942
83	85	933
84	85	924
85	86	915
86	86	907
87	86	899
88	87	893
89	87	886
90	88	879
91	88	873
92	88	867
93	89	860
94	89	854
95	90	848
96	90	840
97	90	835
98	91	830
99	91	824
100	92	819
101	92	813
102	92	806
103	93	802
104	93	795
105	93	789
106	93	783
107	94	777
108	94	772
109	94	766
110	94	760
111	95	755
112	95	750
113	95	745
114	96	741
115	96	736
116	96	731
117	97	726
118	97	723
119	98	719
120	98	716
121	98	712
122	99	708
123	99	704
124	99	699
125	100	696
126	100	691
127	100	687
128	101	684
129	101	680
130	102	676
131	102	673
132	102	669
133	103	666
134	103	662
135	103	658
136	104	655
137	104	651
138	104	649
139	105	645
140	105	642
141	105	637
142	105	634
143	106	631
144	106	628
145	106	625
146	107	621
147	107	619
148	107	616
149	108	614
150	108	610
151	108	608
152	109	605
153	109	602
154	109	599
155	110	596
156	110	594
157	110	591
158	111	588
159	111	585
160	111	581
161	111	579
162	112	576
163	112	573
164	112	571
165	113	568
166	113	565
167	113	563
168	114	560
169	114	558
170	114	556
171	115	554
172	115	552
173	115	550
174	116	547
175	116	546
176	117	544
177	117	543
178	117	540
179	118	538
180	118	536
181	119	535
182	119	533
183	119	531
184	120	529
185	120	527
186	120	524
187	121	522
188	121	521
189	121	518
190	122	517
191	122	515
192	122	513
193	123	511
194	123	509
195	123	507
196	124	506
197	124	504
198	124	502
199	125	500
200	125	499
201	125	497
202	126	495
203	126	493
204	126	491
205	127	490
206	127	488
207	127	487
208	128	485
209	128	483
210	128	481
211	129	480
212	129	478
213	129	476
214	130	475
215	130	473
216	130	472
217	131	471
218	131	469
219	132	469
220	132	467
221	133	466
222	133	465
223	133	464
224	134	462
225	134	461
226	134	459
227	135	458
228	135	456
229	135	455
230	136	453
231	136	452
232	137	451
233	137	449
234	137	448
235	138	447
236	138	446
237	139	445
238	139	444
239	139	442
240	140	441
241	140	440
242	140	439
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	431
249	143	429
250	143	428
251	143	426
252	144	425
253	144	424
254	144	423
255	145	422
256	145	420
257	145	419
258	146	418
259	146	417
260	147	417
261	147	415
262	148	415
263	148	413
264	148	412
265	149	411
266	149	410
267	149	409
268	150	408
269	150	406
270	151	406
271	151	405
272	151	404
273	152	403
274	152	402
275	153	401
276	153	400
277	153	399
278	154	398
279	154	397
280	154	396
281	155	395
282	155	394
283	156	393
284	156	392
285	156	391
286	156	389
287	157	388
288	157	387
289	157	386
290	158	385
291	158	384
292	159	383
293	159	383
294	159	382
295	160	380
296	160	380
297	160	378
298	161	377
299	161	376
300	161	375
301	162	375
302	162	374
303	163	373
304	163	372
305	163	371
306	164	370
307	164	369
308	164	368
309	165	367
310	165	366
311	165	365
312	166	364
313	166	363
314	166	362
315	167	361
316	167	360
317	167	359
318	168	358
319	168	357
320	168	356
321	169	355
322	169	354
323	169	354
324	170	353
325	170	352
326	170	351
327	171	350
328	171	349
329	171	348
330	171	347
331	172	346
332	172	345
333	172	344
334	173	344
335	173	343
336	173	342
337	174	341
338	174	340
339	174	339
340	175	338
341	175	337
342	175	336
343	176	336
344	176	335
345	177	334
346	177	334
347	177	333
348	178	332
349	178	332
350	179	331
351	179	330
352	179	329
353	180	328
354	180	327
355	180	326
356	180	325
357	181	325
358	181	324
359	181	323
360	182	322
361	182	321
362	182	320
363	182	319
364	183	318
365	183	317
366	183	316
367	183	315
368	184	315
369	184	314
370	184	313
371	185	312
372	185	311
373	185	310
